Region code;Region name (sourced);Item code;Item name (sourced);Unit;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
FR15;Metz;1554;Total population - ESPON;total / number;;423776;;;;;432065;;;;;;;;;;
FR16;Clermont-Ferrand;1554;Total population - ESPON;total / number;;451751;;;;;472160;;;;;;;;;;
FR17;Saint-Etienne;1554;Total population - ESPON;total / number;;522710;;;;;532378;;;;;;;;;;
FR18;Tours;1554;Total population - ESPON;total / number;;433516;;;;;458038;;;;;;;;;;
FR19;Orleans;1554;Total population - ESPON;total / number;;397108;;;;;414422;;;;;;;;;;
FR20;Caen;1554;Total population - ESPON;total / number;;429278;;;;;445177;;;;;;;;;;
FR21;Nancy;1554;Total population - ESPON;total / number;;466331;;;;;474007;;;;;;;;;;
FR22;Angers;1554;Total population - ESPON;total / number;;377903;;;;;395936;;;;;;;;;;
FR24;Dijon;1554;Total population - ESPON;total / number;;381343;;;;;392642;;;;;;;;;;
FR25;Brest;1554;Total population - ESPON;total / number;;353921;;;;;362359;;;;;;;;;;
GR04 approx.;EL142 - Larisa (NUTS 2010);1554;Total population;total / number;;287091;287867;288334;289277;290084;291507;292262;292822;292716;292163;290289;289743;287920;286591;;
GR03 approx.;EL232 - Achaia (NUTS 2010);1554;Total population;total / number;;315905;315856;316220;316605;317055;317154;317248;318033;317749;317481;315165;311009;306765;308966;;
GR04;Larissa;1554;Total population - ESPON;total / number;;185636;;;;;191857;;;;;;;;;;
GR03;Patras;1554;Total population - ESPON;total / number;;225271;;;;;239794;;;;;;;;;;
IT16 approx.;Brescia;1554;Total population;total / number;1091670;1100730;1110246;1123005;1144453;1162250;1175357;1186624;1200746;1216469;1224258;1233702;1238075;1247192;;;
IT11 approx.;Verona;1554;Total population;total / number;815008;821812;826891;833828;843806;853124;861111;869037;884107;893229;896478;898851;899817;907352;;;
IT15 approx.;Treviso;1554;Total population;total / number;783640;789846;796176;806391;823127;836687;845404;851500;863135;871906;873305;875418;876051;881245;;;
IT12 approx.;Venezia;1554;Total population;total / number;808508;808821;809637;811147;815399;819835;822185;825382;832534;840103;843785;846187;846275;847983;;;
IT14 approx.;Padova;1554;Total population;total / number;842560;846776;849685;855092;866955;876840;884250;890035;901100;911030;916094;919398;920895;927848;;;
