RegionCode;Region/CityName;CountryName;CountryCode;ProductID;ProductName;Unit;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
AU;Australia;Total;AU;2666;Passenger cars in use;number;;9835884;10101440;10365941;10629401;10896410;11188880;11462400;11803536;12023098;12269305;12474044;12714235;13000021;13297260;13549449;
AU;Australia;Total;AU;2668;Motorcycles and Mopeds in Use;number;;350930;370982;377271;396309;421923;463057;511966;567569;624090;660107;678790;709288;744732;780174;807215;
AU;Australia;Total;AU;2667;Commercial Vehicles in Use;number;;2289953;2349538;2419747;2507361;2601772;2706747;2800555;2925437;3027248;3131686;3215549;3318121;3435843;3556059;3651103;
AU02;Australia;Melbourne;AU;2666;Passenger cars in use;number;;;;;;;;2263468;2322296;2368987;2432559;2485285;2528001;2582113;;;
AU02;Australia;Melbourne;AU;2668;Motorcycles and Mopeds in Use;number;;;;;;;;79697;87909;95363;100798;103432;105473;108176;;;
AU02;Australia;Melbourne;AU;2667;Commercial Vehicles in Use;number;;;;;;;;351451;365397;377866;395151;409831;422987;431323;;;
AU01;Australia;Sydney;AU;2666;Passenger cars in use;number;;;;;;;;2160728;2215195;2228791;2271375;2313729;2342101;2392942;;;
AU01;Australia;Sydney;AU;2668;Motorcycles and Mopeds in Use;number;;;;;;;;66578;74546;82520;89289;93277;97791;104845;;;
AU01;Australia;Sydney;AU;2667;Commercial Vehicles in Use;number;;;;;;;;338849;343493;345664;355408;362020;369031;378920;;;
AU03;Australia;Brisbane;AU;2666;Passenger cars in use;number;;;;;;;;1100295;1143564;1172496;1192629;1212832;1232816;1265645;;;
AU03;Australia;Brisbane;AU;2668;Motorcycles and Mopeds in Use;number;;;;;;;;51783;57916;63242;64606;65384;68809;72591;;;
AU03;Australia;Brisbane;AU;2667;Commercial Vehicles in Use;number;;;;;;;;270167;290037;306693;316621;325238;332465;346396;;;
AU04;Australia;Adelaide;AU;2666;Passenger cars in use;number;;;;;;;;715386;716480;742918;757280;769144;774937;785207;;;
AU04;Australia;Adelaide;AU;2668;Motorcycles and Mopeds in Use;number;;;;;;;;24655;25370;30199;31850;32528;33076;34410;;;
